date,rang,vitesse,distance
8/11/2020 18:30,3,2.9,67.6
8/11/2020 22:30,4,5.5,130.4
9/11/2020 05:30,18,9.5,223.9
9/11/2020 09:00,23,11.3,272.1
9/11/2020 12:00,26,12.2,292.6
9/11/2020 15:00,17,12.7,305.3
9/11/2020 18:00,16,10.9,262.6
9/11/2020 22:30,15,9.6,230.8
10/11/2020 05:30,22,7.6,182.7
10/11/2020 09:30,26,7.8,188.1
10/11/2020 12:30,26,8.3,200.2
10/11/2020 15:30,23,9.0,215.4
10/11/2020 18:00,22,9.5,227.4
10/11/2020 22:30,20,10.3,247.0
11/11/2020 05:30,14,13.2,317.9
11/11/2020 09:30,8,13.6,325.6
11/11/2020 12:30,5,13.8,330.2
11/11/2020 15:30,5,13.2,317.4
11/11/2020 18:30,10,12.0,288.3
11/11/2020 22:30,9,10.8,258.5
12/11/2020 05:30,6,10.7,255.8
12/11/2020 09:30,5,10.6,254.2
12/11/2020 12:30,3,10.9,262.4
12/11/2020 15:30,4,11.7,280.4
12/11/2020 18:30,6,12.8,307.6
12/11/2020 22:30,5,13.2,317.3
13/11/2020 05:30,3,13.5,323.9
13/11/2020 09:30,3,13.5,324.7
13/11/2020 12:30,3,13.0,310.8
13/11/2020 15:30,4,12.8,306.3
13/11/2020 18:30,3,13.5,325.2
13/11/2020 22:30,3,14.4,346.5
14/11/2020 05:30,4,14.5,348.7
14/11/2020 09:30,4,14.5,347.9
14/11/2020 12:30,6,14.6,349.9
14/11/2020 15:30,7,14.0,336.4
14/11/2020 17:30,8,13.2,317.2
14/11/2020 21:30,7,12.2,292.0
15/11/2020 04:30,6,11.0,263.0
15/11/2020 08:30,4,11.6,278.8
15/11/2020 11:30,4,12.4,298.3
15/11/2020 14:30,3,13.4,322.5
15/11/2020 17:30,3,14.8,355.1